X,visits,days_attend,hours_attend,gender,age,zip,extend,length,spend_food_drink,spend_private,spend_clothes,spend_transportation,spend_donations,spend_other,spend_food_drink_total,spend_entertainment_total,spend_shopping_total,spend_travel_total,length_boulder,lodging,lodging_cost
102,20,3-4 days,8,Female,35-44,80303,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$100-$199,$100-$199,$1 - $20,$1 - $20,0,$21-$49,$100-$199,$20-$49,$50-$99,$500-$999,Resident,Hotel or motel,NA
167,25,3-4 days,3,Female,65-74,80303,NA,Live in area,$21-$49,0,0,0,0,$500-$999,$200-$499,$200-$499,0,$500-$999,Three nights,Hotel or motel,200
257,20,3-4 days,5,Female,18-24,93013,No,I live here,$500-$999,$100-$199,$500-$999,$500-$999,$200-$499,$200-$499,$20-$49,$200-$499,$100-$199,$50-$99,Day trip,"Friends, family or no expense",NA
136,NA,40,4,Female,45-54,80309,Yes,-,$200-$499,0,"$1,000.00",$100-$199,$500-$999,$100-$199,$20-$49,$20-$49,$50-$99,0,One night,"Friends, family or no expense",0
48,5-6 times,0,0,Male,55-64,80306,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,$1 - $20,$1 - $20,$50-$99,$20-$49,Four nights,NA,240
26,1-2 times,0,0,Female,45-54,80303,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,$1 - $20,$500-$999,NA,NA,Two nights,Boulder Resident,175
202,20,3-4 days,9,Male,35-44,80303,No,Home is here,$50-$99,0,0,0,0,0,$200-$499,$100-$199,$500-$999,$1 - $20,NA,Hotel or motel,0
275,20,1-2 days,3,Female,65-74,80304,Yes,A few hours,$500-$999,$21-$49,$50-$99,"$2,000-$3,000",NA,"$5,000.00",NA,$500-$999,$20-$49,NA,Day trip,Home,125
227,3-4 times,1-2 days,4,Male,25-34,80303,Yes,Home is here,$50-$99,$50-$99,0,$1 - $20,0,$100-$199,$200-$499,$50-$99,$20-$49,$1 - $20,Three nights,NA,280
54,4,10,5,Female,45-54,80309,NA,Live in area,"$1,000.00","$1,000-$1,499",$500-$999,$50-$99,0,0,$200-$499,$100-$199,$200-$499,$1 - $20,I live here,Hotel or motel,0
36,3-4 times,0,0,Female,45-54,80303,NA,Zero,0,0,0,0,0,0,$20-$49,0,NA,$50-$99,Resident,Boulder Resident,0
77,1-2 times,1-2 days,1,Female,35-44,93111,No,Didn't extend stay,$1 - $20,0,0,0,0,0,$100-$199,$200-$499,0,$500-$999,One night,Home,125
60,20,1-2 days,2,Male,55-64,80309,No,0,$1 - $20,0,0,0,0,0,$20-$49,$500-$999,$500-$999,$500-$999,Multiple day trips,Hotel or motel,0
97,5-6 times,1-2 days,3,Female,55-64,80306,No,0,$1 - $20,0,0,$1 - $20,0,$1 - $20,NA,0,0,$1 - $20,Resident,NA,NA
239,1-2 times,3,5,Female,35-44,93111,NA,-,$50-$99,0,$1 - $20,$1 - $20,"$1,000-$1,499",0,$1 - $20,$100-$199,0,$1 - $20,Live in Boulder,"Friends, family or no expense",280
138,1,3-4 days,4,Female,45-54,80303,No,Home is here,$21-$49,$1 - $20,0,0,0,$1 - $20,0,$50-$99,0,$200-$499,Local,Home,0
38,3-4 times,0,0,Male,65-74,93108,NA,A few hours,0,0,0,0,0,0,NA,$1 - $20,$200-$499,$50-$99,NA,NA,NA
269,20,5-6 days,6,Female,65-74,80302,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,$50-$99,$200-$499,$100-$199,"$1,000-$1,499","$5,000.00",$20-$49,$20-$49,$20-$49,$20-$49,Two nights,Hotel or motel,200
158,20,1-2 days,3,Female,55-64,80305,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,0,$21-$49,$1 - $20,$500-$999,NA,$1 - $20,0,$20-$49,Multiple day trips,NA,3
245,1,1-2 days,2,Male,45-54,93437,Yes,A few hours,$500-$999,$50-$99,0,"$2,000-$3,000",NA,$200-$499,$50-$99,$50-$99,$50-$99,$50-$99,One night,Hotel or motel,125
58,20,1-2 days,1,Male,45-54,80309,Yes,Zero,$1 - $20,0,0,0,0,0,$100-$199,$50-$99,$50-$99,0,Resident,Boulder Resident,200
54,4,10,5,Female,45-54,80309,NA,Live in area,"$1,000.00","$1,000-$1,499",$500-$999,$50-$99,0,0,$200-$499,$100-$199,$200-$499,$1 - $20,I live here,Hotel or motel,0
60,20,1-2 days,2,Male,55-64,80309,No,0,$1 - $20,0,0,0,0,0,$20-$49,$500-$999,$500-$999,$500-$999,Multiple day trips,Hotel or motel,0
280,1-2 times,0,4,Female,55-64,91335,NA,2 days,NA,NA,0,$200-$499,"$1,000-$1,499",$200-$499,$50-$99,$1 - $20,$1 - $20,$50-$99,Day trip,Boulder Resident,3
131,20,3-4 days,3,Male,45-54,80303,No,Didn't extend stay,$200-$499,$1 - $20,$21-$49,$50-$99,$21-$49,$500-$999,$200-$499,$20-$49,$100-$199,$500-$999,Local resident,Home,0
174,1-2 times,3-4 days,5,Female,25-34,80309,No,Zero,$21-$49,0,$21-$49,$21-$49,0,0,$100-$199,$100-$199,$500-$999,$50-$99,I live here,"Friends, family or no expense",175
199,20,1-2 days,0.5,Male,55-64,93013,No,2 days,$50-$99,$1 - $20,$21-$49,0,$21-$49,"$3,000-$4,000",0,$200-$499,$20-$49,0,Local,NA,3
219,20,1-2 days,6,Female,45-54,80306,Yes,A few hours,$50-$99,$100-$199,$500-$999,$21-$49,$1 - $20,$1 - $20,$100-$199,0,$50-$99,$200-$499,Two nights,Home,500
29,1-2 times,0,2,Female,55-64,80303,No,0,0,0,0,0,0,0,"$2,000-$4,999",$100-$199,$20-$49,NA,Two nights,NA,125
166,20,1-2 days,2,Female,55-64,80306,No,0,$21-$49,$21-$49,"$1,000.00",$50-$99,$200-$499,$1 - $20,"$2,000-$4,999",$20-$49,0,NA,Day trip,Home,NA
198,1,1-2 days,4,Male,35-44,93454,NA,NA,$50-$99,0,$21-$49,$21-$49,0,0,$100-$199,$100-$199,$1 - $20,$1 - $20,Resident,Home,175
25,1-2 times,0,0,Female,45-54,80303,Yes,-,0,0,0,0,0,0,"$2,000-$4,999",$1 - $20,0,$200-$499,One night,Boulder Resident,125
258,20,1-2 days,1,Female,55-64,93440,No,Didn't extend stay,0,0,$100-$199,$21-$49,$200-$499,$21-$49,$50-$99,$50-$99,$50-$99,$50-$99,Day trip,"Friends, family or no expense",175
204,20,1-2 days,5,Female,18-24,80303,NA,Zero,$50-$99,0,0,$1 - $20,0,0,$200-$499,$20-$49,$1 - $20,$200-$499,Multiple day trips,NA,280
125,20,7-8 days,3,Female,35-44,80309,Yes,Didn't extend stay,$200-$499,0,$21-$49,$21-$49,0,NA,0,$200-$499,$20-$49,$200-$499,Local resident,Hotel or motel,175
2,1,7-8 days,NA,Prefer not to say,35-44,80309,No,Didn't extend stay,0,0,0,0,0,0,"$1,000-$1,999",$20-$49,NA,$1 - $20,I live here,Boulder Resident,0
173,1-2 times,3-4 days,3,Female,25-34,80303,Yes,I live here,$21-$49,0,$21-$49,$21-$49,0,$50-$99,NA,$50-$99,$1 - $20,0,Resident,NA,500
146,20,1-2 days,5,Female,45-54,80303,NA,1 day,$21-$49,0,0,0,0,0,$50-$99,$20-$49,$100-$199,0,Local,Hotel or motel,175
16,20,0,0,Female,65-74,80309,No,Zero,0,0,0,0,0,0,$200-$499,$500-$999,$200-$499,$20-$49,Local resident,Hotel or motel,3
132,20,7-8 days,9,Female,55-64,80309,NA,0,$200-$499,$100-$199,$500-$999,$50-$99,$100-$199,$200-$499,$100-$199,$500-$999,$500-$999,$50-$99,Three nights,"Friends, family or no expense",280
288,5-6 times,1-2 days,5,Male,45-54,90245,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,$100-$199,$21-$49,$200-$499,0,0,$50-$99,$50-$99,$100-$199,$200-$499,One night,Hotel or motel,280
22,20,1-2 days,3,Female,65-74,80309,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,$1 - $20,0,$1 - $20,"$1,000-$1,999",0,0,0,NA,Hotel or motel,125
109,20,5-6 days,8,Female,35-44,80306,No,2 days,$100-$199,0,$50-$99,$21-$49,0,"$5,000.00",0,0,$100-$199,$200-$499,Day trip,Boulder Resident,500
188,5-6 times,1-2 days,3,Female,35-44,80309,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,0,$1 - $20,0,0,$200-$499,$100-$199,$500-$999,$20-$49,Four nights,Home,280
147,20,1-2 days,1,Male,65-74,80306,Yes,Zero,$21-$49,0,0,0,0,0,$20-$49,$50-$99,$1 - $20,$500-$999,Live in Boulder,NA,3
239,1-2 times,3,5,Female,35-44,93111,NA,-,$50-$99,0,$1 - $20,$1 - $20,"$1,000-$1,499",0,$1 - $20,$100-$199,0,$1 - $20,Live in Boulder,"Friends, family or no expense",280
39,3-4 times,1-2 days,2,Female,75-84,80306,No,Home is here,0,0,0,0,0,0,"$1,000-$1,999",$50-$99,$20-$49,$1 - $20,Local,Boulder Resident,280
192,5-6 times,3-4 days,3,Male,45-54,80306,No,1 day,$21-$49,NA,$21-$49,$1 - $20,NA,$21-$49,"$2,000-$4,999",$50-$99,$200-$499,$500-$999,Local,Hotel or motel,N/A
215,20,5-6 days,8,Female,25-34,80303,NA,Live in area,$50-$99,$21-$49,$1 - $20,$21-$49,"$1,000-$1,499",$21-$49,"$2,000-$4,999",0,$500-$999,$200-$499,Live in Boulder,Hotel or motel,3
117,3-4 times,3-4 days,4,Female,65-74,80309,No,0,$100-$199,0,0,$21-$49,0,$100-$199,"$2,000-$4,999",$1 - $20,0,$500-$999,Live in Boulder,Hotel or motel,175
162,20,3-4 days,4,Male,35-44,80305,No,2 days,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,"$1,000-$1,999",$50-$99,0,$50-$99,Four nights,Hotel or motel,500
107,20,3-4 days,4,Female,55-64,80303,No,A few hours,$100-$199,$100-$199,$200-$499,$21-$49,$50-$99,$21-$49,$100-$199,$1 - $20,$200-$499,$200-$499,Local,Hotel or motel,280
232,40,3-4 days,8,Male,35-44,80306,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$50-$99,$21-$49,$21-$49,0,$1 - $20,$1 - $20,$200-$499,$100-$199,NA,NA,Resident,NA,200
187,5-6 times,1-2 days,2,Female,55-64,80309,No,0,$21-$49,0,0,0,0,0,NA,$200-$499,$1 - $20,NA,Local,Home,125
118,5-6 times,7-8 days,5,Female,35-44,80304,NA,Live in area,$100-$199,$100-$199,$50-$99,$1 - $20,$100-$199,NA,NA,NA,0,NA,Multiple day trips,NA,0
199,20,1-2 days,0.5,Male,55-64,93013,No,2 days,$50-$99,$1 - $20,$21-$49,0,$21-$49,"$3,000-$4,000",0,$200-$499,$20-$49,0,Local,NA,3
259,20,3-4 days,3,Male,35-44,80305,NA,0,$50-$99,$100-$199,$500-$999,$100-$199,NA,$100-$199,$20-$49,$100-$199,NA,$50-$99,Day trip,Home,280
144,20,1-2 days,6,Female,55-64,80305,No,0,$21-$49,0,0,$1 - $20,0,0,$1 - $20,0,0,$200-$499,Local,Hotel or motel,500
231,3-4 times,3-4 days,3,Female,65-74,80304,No,Live in area,$50-$99,$200-$499,$1 - $20,"$2,000-$3,000",$100-$199,$50-$99,$50-$99,$500-$999,$200-$499,$500-$999,Resident,Home,N/A
204,20,1-2 days,5,Female,18-24,80303,NA,Zero,$50-$99,0,0,$1 - $20,0,0,$200-$499,$20-$49,$1 - $20,$200-$499,Multiple day trips,NA,280
283,1-2 times,1-2 days,6,Male,35-44,91792,No,1 day,$500-$999,$21-$49,$50-$99,$100-$199,$100-$199,$500-$999,$100-$199,NA,$50-$99,0,Two nights,Home,N/A
136,NA,40,4,Female,45-54,80309,Yes,-,$200-$499,0,"$1,000.00",$100-$199,$500-$999,$100-$199,$20-$49,$20-$49,$50-$99,0,One night,"Friends, family or no expense",0
125,20,7-8 days,3,Female,35-44,80309,Yes,Didn't extend stay,$200-$499,0,$21-$49,$21-$49,0,NA,0,$200-$499,$20-$49,$200-$499,Local resident,Hotel or motel,175
9,20,1-2 days,2,Male,35-44,80309,No,NA,0,0,0,0,0,0,"$1,000-$1,999",$20-$49,$20-$49,$1 - $20,One night,Home,500
134,1-2 times,3-4 days,2,Male,45-54,89135,No,Live in area,$200-$499,$50-$99,$100-$199,$100-$199,$1 - $20,"$5,000.00",NA,0,0,NA,NA,NA,0
113,1-2 times,1-2 days,20,Female,45-54,80303,Yes,NA,$100-$199,0,$21-$49,0,0,$1 - $20,"$2,000-$4,999",$100-$199,$50-$99,$20-$49,Four nights,Hotel or motel,200
41,5-6 times,1-2 days,2,Female,45-54,96161,No,Didn't extend stay,0,0,0,0,0,$21-$49,NA,$50-$99,$100-$199,$50-$99,Local,NA,240
241,20,7-8 days,10,Male,35-44,80309,No,1 day,$500-$999,"$2,000-$3,000",$1 - $20,$100-$199,"$1,000-$1,499","$3,000-$4,000",$200-$499,$200-$499,$1 - $20,0,Local resident,"Friends, family or no expense",0
134,1-2 times,3-4 days,2,Male,45-54,89135,No,Live in area,$200-$499,$50-$99,$100-$199,$100-$199,$1 - $20,"$5,000.00",NA,0,0,NA,NA,NA,0
239,1-2 times,3,5,Female,35-44,93111,NA,-,$50-$99,0,$1 - $20,$1 - $20,"$1,000-$1,499",0,$1 - $20,$100-$199,0,$1 - $20,Live in Boulder,"Friends, family or no expense",280
4,1,1-2 days,3,Female,35-44,80306,No,0,0,$21-$49,NA,$200-$499,NA,$50-$99,$50-$99,$20-$49,$200-$499,$500-$999,Three nights,NA,280
139,1,1-2 days,1,Female,25-34,80306,NA,2 days,$21-$49,0,0,$1 - $20,0,0,$100-$199,$100-$199,$1 - $20,$500-$999,Three nights,NA,200
114,1-2 times,1-2 days,5,Female,25-34,80304,No,Live in area,$100-$199,0,0,$21-$49,0,0,$20-$49,$1 - $20,$200-$499,$1 - $20,Local,Boulder Resident,0
70,20,5-6 days,3,Female,18-24,80309,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,0,$1 - $20,$1 - $20,0,0,$20-$49,$100-$199,$1 - $20,$20-$49,Multiple day trips,Home,175
89,3-4 times,1-2 days,1,Female,25-34,80303,NA,A few hours,$1 - $20,$21-$49,$100-$199,$21-$49,$500-$999,$200-$499,$200-$499,$50-$99,$1 - $20,0,One night,"Friends, family or no expense",500
60,20,1-2 days,2,Male,55-64,80309,No,0,$1 - $20,0,0,0,0,0,$20-$49,$500-$999,$500-$999,$500-$999,Multiple day trips,Hotel or motel,0
148,20,3-4 days,3,Female,35-44,80306,NA,Home is here,$21-$49,0,$1 - $20,0,$1 - $20,$500-$999,$20-$49,NA,$500-$999,0,Local resident,Boulder Resident,280
47,5-6 times,0,4,Female,45-54,80309,NA,I live here,0,0,0,0,0,0,$1 - $20,$1 - $20,$500-$999,$500-$999,NA,Boulder Resident,175
18,20,1-2 days,2,Female,35-44,80303,NA,-,0,0,$1 - $20,0,0,0,0,0,$100-$199,$20-$49,Two nights,Hotel or motel,125
202,20,3-4 days,9,Male,35-44,80303,No,Home is here,$50-$99,0,0,0,0,0,$200-$499,$100-$199,$500-$999,$1 - $20,NA,Hotel or motel,0
220,20,1-2 days,2,Female,45-54,80309,NA,NA,$50-$99,0,0,$50-$99,0,0,$50-$99,NA,$50-$99,$1 - $20,Local resident,Home,175
275,20,1-2 days,3,Female,65-74,80304,Yes,A few hours,$500-$999,$21-$49,$50-$99,"$2,000-$3,000",NA,"$5,000.00",NA,$500-$999,$20-$49,NA,Day trip,Home,125
188,5-6 times,1-2 days,3,Female,35-44,80309,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,0,$1 - $20,0,0,$200-$499,$100-$199,$500-$999,$20-$49,Four nights,Home,280
233,5-6 times,7-8 days,5,Female,35-44,80303,Yes,I live here,$50-$99,$1 - $20,$500-$999,$21-$49,$1 - $20,$1 - $20,"$2,000-$4,999",$500-$999,$500-$999,$500-$999,Multiple day trips,Boulder Resident,0
282,1-2 times,1-2 days,3,Female,55-64,93437,No,Live in area,$50-$99,$500-$999,$1 - $20,0,0,0,$1 - $20,0,0,0,Two nights,Hotel or motel,175
132,20,7-8 days,9,Female,55-64,80309,NA,0,$200-$499,$100-$199,$500-$999,$50-$99,$100-$199,$200-$499,$100-$199,$500-$999,$500-$999,$50-$99,Three nights,"Friends, family or no expense",280
6,20,1-2 days,1,Male,45-54,80305,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,$20-$49,$1 - $20,$500-$999,$50-$99,Four nights,Home,240
275,20,1-2 days,3,Female,65-74,80304,Yes,A few hours,$500-$999,$21-$49,$50-$99,"$2,000-$3,000",NA,"$5,000.00",NA,$500-$999,$20-$49,NA,Day trip,Home,125
116,3-4 times,7-8 days,5,Female,45-54,93463,NA,0,$100-$199,$200-$499,"$1,000-$1,499",$200-$499,$500-$999,NA,"$1,000-$1,999",$50-$99,$50-$99,0,Multiple day trips,Boulder Resident,200
121,20,7-8 days,6,Female,55-64,80305,No,I live here,$200-$499,$200-$499,$200-$499,$200-$499,$500-$999,"$3,000-$4,000",NA,$500-$999,$20-$49,NA,Four nights,NA,125
210,20,3-4 days,3,Female,25-34,80306,Yes,NA,$50-$99,$1 - $20,0,$21-$49,$1 - $20,0,$200-$499,$20-$49,$100-$199,$1 - $20,Two nights,"Friends, family or no expense",0
195,5-6 times,3-4 days,5,Male,18-24,80306,NA,Home is here,$21-$49,$50-$99,$21-$49,$50-$99,$21-$49,$50-$99,"$1,000-$1,999",$100-$199,$200-$499,$50-$99,Local resident,Home,500
3,1,0,0,Female,65-74,80303,Yes,NA,0,0,0,0,0,0,"$1,000-$1,999",$50-$99,$20-$49,NA,Four nights,"Friends, family or no expense",200
51,5-6 times,0,NA,Female,55-64,80303,NA,Didn't extend stay,0,0,$200-$499,$21-$49,$200-$499,"$5,000.00",$50-$99,$50-$99,$20-$49,$20-$49,Two nights,Boulder Resident,240
256,20,3-4 days,3,Female,45-54,80305,Yes,NA,$1 - $20,0,NA,$1 - $20,$500-$999,"$5,000.00",$50-$99,0,$20-$49,$20-$49,Day trip,Home,125
127,20,7-8 days,3,Female,35-44,80309,No,Didn't extend stay,$200-$499,0,$21-$49,$21-$49,0,$1 - $20,$1 - $20,$100-$199,$20-$49,$1 - $20,Two nights,NA,240
19,20,1-2 days,6,Female,55-64,80303,Yes,NA,0,0,$50-$99,0,0,0,$50-$99,$500-$999,$100-$199,$200-$499,Resident,Home,200
230,3-4 times,1-2 days,8,Male,45-54,80304,NA,Zero,$50-$99,$50-$99,$50-$99,$50-$99,$1 - $20,0,$100-$199,$50-$99,$200-$499,$200-$499,Multiple day trips,Hotel or motel,175
94,5-6 times,1-2 days,2,Female,35-44,80309,Yes,NA,$1 - $20,0,0,0,0,NA,"$2,000-$4,999",$20-$49,NA,0,Local,Boulder Resident,NA
244,5-6 times,3-4 days,8,Male,45-54,80302,Yes,0,$500-$999,0,$200-$499,"$2,000-$3,000",$500-$999,0,"$2,000-$4,999",$20-$49,$1 - $20,$500-$999,Day trip,"Friends, family or no expense",3
143,12,2,2,Male,55-64,80303,Yes,A few hours,$21-$49,0,0,$1 - $20,0,"$5,000.00",$100-$199,0,0,0,Two nights,Home,0
228,3-4 times,7-8 days,6,Male,25-34,80303,No,Didn't extend stay,$50-$99,$100-$199,$1 - $20,$1 - $20,0,$100-$199,0,$50-$99,$1 - $20,NA,One night,NA,125
75,20,1-2 days,1,Female,65-74,80306,NA,2 days,$1 - $20,$1 - $20,"$1,000-$1,499",$500-$999,$200-$499,$50-$99,$200-$499,$200-$499,$50-$99,$20-$49,NA,Home,200
113,1-2 times,1-2 days,20,Female,45-54,80303,Yes,NA,$100-$199,0,$21-$49,0,0,$1 - $20,"$2,000-$4,999",$100-$199,$50-$99,$20-$49,Four nights,Hotel or motel,200
100,20,3-4 days,2,Female,45-54,80306,No,Live in area,$100-$199,0,0,$1 - $20,0,0,$20-$49,$500-$999,$1 - $20,$50-$99,Local,"Friends, family or no expense",175
140,1,3-4 days,4,Female,55-64,93460,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,$500-$999,$21-$49,$50-$99,0,$21-$49,$1 - $20,$1 - $20,$50-$99,$1 - $20,Four nights,NA,0
200,20,1-2 days,4,Female,55-64,93003,Yes,A few hours,$50-$99,0,$1 - $20,$21-$49,0,0,$1 - $20,$20-$49,$20-$49,$50-$99,NA,NA,NA
211,20,3-4 days,4,Male,35-44,80303,NA,NA,$50-$99,$50-$99,0,$21-$49,0,0,"$1,000-$1,999",$50-$99,NA,$20-$49,NA,NA,200
205,20,3-4 days,3,Female,35-44,80309,Yes,Didn't extend stay,$50-$99,0,$1 - $20,$1 - $20,0,$1 - $20,"$2,000-$4,999",$20-$49,NA,0,Day trip,Boulder Resident,200
119,56,5-6 days,4,Female,45-54,93035,NA,2 days,$100-$199,0,$100-$199,$50-$99,0,$21-$49,"$2,000-$4,999",$50-$99,$50-$99,$200-$499,One night,"Friends, family or no expense",125
262,20,5-6 days,5,Male,35-44,80305,NA,NA,0,$50-$99,$1 - $20,0,$1 - $20,$500-$999,$50-$99,$50-$99,$50-$99,$20-$49,I live here,Home,N/A
238,5-6 times,7-8 days,4,Male,65-74,80306,Yes,Home is here,$50-$99,$50-$99,$50-$99,$50-$99,$50-$99,$100-$199,$1 - $20,$50-$99,$500-$999,$50-$99,Local,Home,125
166,20,1-2 days,2,Female,55-64,80306,No,0,$21-$49,$21-$49,"$1,000.00",$50-$99,$200-$499,$1 - $20,"$2,000-$4,999",$20-$49,0,NA,Day trip,Home,NA
97,5-6 times,1-2 days,3,Female,55-64,80306,No,0,$1 - $20,0,0,$1 - $20,0,$1 - $20,NA,0,0,$1 - $20,Resident,NA,NA
235,5-6 times,1-2 days,8,Male,35-44,80309,No,2 days,$50-$99,0,$50-$99,$1 - $20,$21-$49,0,NA,$50-$99,$100-$199,$500-$999,I live here,"Friends, family or no expense",125
237,5-6 times,3-4 days,2.5,Female,25-34,80302,No,Didn't extend stay,$50-$99,0,0,$21-$49,$1 - $20,0,"$1,000-$1,999",$200-$499,$20-$49,$20-$49,Three nights,NA,175
106,20,1-2 days,6,Female,55-64,80304,Yes,2 days,$100-$199,0,0,$21-$49,$1 - $20,$21-$49,NA,$200-$499,$200-$499,0,Four nights,Home,175
57,20,0,0,Male,25-34,80306,NA,I live here,$1 - $20,0,0,0,0,0,$200-$499,0,$500-$999,$50-$99,One night,Home,240
273,20,3-4 days,6,Male,25-34,80305,NA,0,$200-$499,"$1,000-$1,499","$1,000.00",NA,"$1,000-$1,499",$1 - $20,$100-$199,$20-$49,$50-$99,$50-$99,Two nights,Hotel or motel,N/A
148,20,3-4 days,3,Female,35-44,80306,NA,Home is here,$21-$49,0,$1 - $20,0,$1 - $20,$500-$999,$20-$49,NA,$500-$999,0,Local resident,Boulder Resident,280
232,40,3-4 days,8,Male,35-44,80306,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$50-$99,$21-$49,$21-$49,0,$1 - $20,$1 - $20,$200-$499,$100-$199,NA,NA,Resident,NA,200
81,1-2 times,3-4 days,10,Female,35-44,80304,No,2 days,$1 - $20,$1 - $20,$1 - $20,$200-$499,$200-$499,NA,$20-$49,$50-$99,0,$1 - $20,Local resident,"Friends, family or no expense",NA
212,20,3-4 days,4,Female,35-44,80304,Yes,NA,$50-$99,0,$1 - $20,$21-$49,0,0,"$2,000-$4,999",$100-$199,NA,$20-$49,Multiple day trips,NA,500
266,20,3-4 days,3,Male,35-44,93013,Yes,-,$100-$199,$100-$199,0,NA,$21-$49,"$5,000.00",$50-$99,$100-$199,$20-$49,0,Multiple day trips,Home,0
286,5-6 times,1-2 days,4,Female,25-34,93013,No,Live in area,0,$1 - $20,$500-$999,$100-$199,$500-$999,$100-$199,$50-$99,$1 - $20,$1 - $20,$1 - $20,Day trip,Boulder Resident,175
261,20,0,0,Male,35-44,80305,NA,Didn't extend stay,0,$1 - $20,"$1,000-$1,499","$2,000-$3,000",$200-$499,"$3,000-$4,000",0,0,0,$20-$49,I live here,"Friends, family or no expense",0
202,20,3-4 days,9,Male,35-44,80303,No,Home is here,$50-$99,0,0,0,0,0,$200-$499,$100-$199,$500-$999,$1 - $20,NA,Hotel or motel,0
175,1-2 times,7-8 days,3,Male,35-44,93437,Yes,A few hours,$21-$49,0,$50-$99,$21-$49,0,0,"$2,000-$4,999",$500-$999,$1 - $20,$50-$99,I live here,"Friends, family or no expense",NA
137,29,4,8,Female,55-64,80305,Yes,I live here,$200-$499,$200-$499,$100-$199,$100-$199,$200-$499,0,$50-$99,NA,$500-$999,$500-$999,Two nights,Home,0
56,20,1-2 days,2,Female,55-64,93111,No,A few hours,$1 - $20,0,0,0,0,NA,$50-$99,$50-$99,NA,$500-$999,Three nights,Home,175
29,1-2 times,0,2,Female,55-64,80303,No,0,0,0,0,0,0,0,"$2,000-$4,999",$100-$199,$20-$49,NA,Two nights,NA,125
156,20,1-2 days,4,Female,35-44,80309,NA,Zero,$21-$49,$500-$999,$500-$999,$1 - $20,$50-$99,$200-$499,"$2,000-$4,999",$500-$999,$200-$499,$20-$49,Local,Boulder Resident,240
7,20,0,3,Male,45-54,80302,No,Zero,0,0,0,0,0,0,"$1,000-$1,999",$100-$199,$20-$49,NA,Local resident,Home,125
140,1,3-4 days,4,Female,55-64,93460,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,$500-$999,$21-$49,$50-$99,0,$21-$49,$1 - $20,$1 - $20,$50-$99,$1 - $20,Four nights,NA,0
197,0,6,4,Female,45-54,80303,Yes,Didn't extend stay,$21-$49,$50-$99,$21-$49,$21-$49,"$1,000-$1,499",$1 - $20,0,$50-$99,$500-$999,$20-$49,Four nights,Home,500
207,20,3-4 days,2,Female,65-74,80309,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$50-$99,0,$21-$49,$1 - $20,0,0,$20-$49,$500-$999,$200-$499,$50-$99,Local,Hotel or motel,N/A
136,NA,40,4,Female,45-54,80309,Yes,-,$200-$499,0,"$1,000.00",$100-$199,$500-$999,$100-$199,$20-$49,$20-$49,$50-$99,0,One night,"Friends, family or no expense",0
270,20,1-2 days,3,Male,35-44,93111,Yes,NA,$50-$99,"$1,000-$1,499",$1 - $20,$100-$199,$1 - $20,$50-$99,NA,$1 - $20,$50-$99,$20-$49,Multiple day trips,Home,240
130,20,7-8 days,3,Female,35-44,80309,No,1 day,$200-$499,0,$21-$49,$21-$49,0,$21-$49,$100-$199,$100-$199,NA,$1 - $20,I live here,Home,0
27,1-2 times,1-2 days,1,Female,45-54,80309,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,$50-$99,$500-$999,$200-$499,$1 - $20,Two nights,"Friends, family or no expense",200
77,1-2 times,1-2 days,1,Female,35-44,93111,No,Didn't extend stay,$1 - $20,0,0,0,0,0,$100-$199,$200-$499,0,$500-$999,One night,Home,125
135,1-2 times,1-2 days,4,Male,18-24,80306,No,Live in area,$200-$499,0,$200-$499,$21-$49,0,$1 - $20,$20-$49,0,0,$20-$49,Day trip,NA,NA
35,1-2 times,0,0,Female,Prefer not to say,80304,No,A few hours,0,0,0,0,0,0,$20-$49,$500-$999,$500-$999,$500-$999,Live in Boulder,Home,NA
